,question,option_a,option_b,option_c,option_d,correct answer,option,subject,llama_score
75,கிரைசோகிராப் கருவியை வடிவமைத்தவர்,பேட்சன்,விட்டேக்கர்,ஜ.சி.போஸ்,இவைகளில் எதுமில்லை,ஜ.சி.போஸ்,2,biology,0
76,சுவாச வேர்கள் காணப்படும் தாவரம்,வாண்டா,கஸ்கியூட்டா,ஒரபாங்கி,அவிசினியா,அவிசினியா,3,biology,1
77,மருந்துகளின் இராணி எனப்படுவது,பென்சிலின்,பென்சிலியம்,ஸ்ட்ரெப்டோமைசின்,கிரைசோப்புல்வின்,பென்சிலின்,0,biology,0
78,கலப்பு ஊட்டமுறையை பெற்றுள்ள உயிரி,அமீபா,பாரமீசியம்,யூக்ளினா,பூஞ்சை,யூக்ளினா,2,biology,1
79,ஒரு செல் பூஞ்சைக்கு எடுத்துக்காட்டு,அகாரிகஸ்,ஆஸ்பர் ஜில்லா,ஈஸ்ட்,பென்சிலியம்,ஈஸ்ட்,2,biology,1
0,முதன்முதலாக மனிதன் பயன்படுத்திய உலோகம்,இரும்பு,வெண்கலம்,செம்பு,தகரம்,செம்பு,2,history,0
1,ஹரப்பா நாகரிகம் எந்த காலத்தை சார்ந்தது,செம்பு கற்காலம்,புதிய கற்காலம்,இரும்பு காலம்,பழைய கற்காலம்,செம்பு கற்காலம்,0,history,0
2,சிந்துவெளி நாகரிகம் பற்றி அறிய உதவுவது,கல்வெட்டுகள்,செப்பு பட்டயம்,நூல்கள்,அகழ்வராய்ச்சி சான்றுகள்,அகழ்வராய்ச்சி சான்றுகள்,3,history,1
3,மொகஞ்சதாரோ என்பதன் பொருள்,பூங்கா நகரம்,துறைமுக நகரம்,பழங்கால நகரம்,இடுகாட்டு மேடு,இடுகாட்டு மேடு,3,history,1
4,லோத்தல் என்னும் துறைமுகம் காணப்படும் இடம் ,குஜராத்,மகாராஷ்டிரம்,தமிழ்நாடு,ஆந்திரா,குஜராத்,0,history,0
5,ஹரப்பா நாகரிகம் எவ்வகையான நாகரிகம்,கிராம நாகரிகம்,நகர நாகரிகம்,மாநகர நாகரிகம்,பழங்கால நாகரிகம்,நகர நாகரிகம்,1,history,1
6,சிந்துவெளி மக்களுக்கு தெரிந்திராத உலோகம்,வெண்கலம்,இரும்பு,செம்பு,தகரம்,இரும்பு,1,history,1
7,ஹரப்பா என்ற சிந்திமொழி சொல்லின்  பொருள்,ஆற்றங்கரை நகரம்,நதி நகரம்,பழங்கால நகரம்,புதையுண்ட நகரம்,புதையுண்ட நகரம்,3,history,1
8,சிந்துவெளி மக்களுக்கு தெரிந்திராத விலங்கு,குதிரை,நாய்,எருது,மான்,குதிரை,0,history,0
9,சிந்துவெளி மக்களின் எழுத்து வடிவம் எந்த மொழியுடன் தொடர்புடையது,ஹந்தி,தமிழ்,சீனம்,மண்டாரியன்,தமிழ்,1,history,1
10,இடைச்சங்கம் நடைபெற்ற இடம்,மதுரை,தென்மதுரை,கூடல் நகர்,கபாடபுரம்,கபாடபுரம்,3,history,0
11,கூடல்நகர் என்றழைக்கப்படும் நகரம்,மதுரை,கூடலூர்,கபாடபுரம்,தென்மதுரை,மதுரை,0,history,0
12,முச்சங்கங்கள் அமைத்து தமிழை வளர்த்தவர்கள்,சேரர்கள்,பாண்டியர்கள்,சோழர்கள்,இவர்கள் அனைவரும்,பாண்டியர்கள்,1,history,0
13,காவிரியில் கல்லணையை கட்டிய சங்ககால மன்னன்,இராஜராஜ சோழன்,இராஜேந்திர சோழன்,கரிகால சோழன்,எவருமில்லை,கரிகால சோழன்,2,history,0
14,ரிக் வேத காலம் எனப்படுவது,கி.மு.1600-1000,கி.மு.1000-600,கி.மு.1500-600,கி.மு.1500-1000,கி.மு.1500-1000,3,history,1
15,பின் வேத காலத்தில் சிறந்து விளங்கிய பெண்மணி,கார்கி,அபலா,கோசா,லோபமுத்ரா,கார்கி,0,history,0
16,ஆரியர்கள் அறியாத விலங்கு,புலி,குதிரை,நாய்,மாடு,புலி,0,history,0
17,தனுர்வேதம் எனப்படுவது,மருத்துவம்,கட்டடக்கலை,பாடல்கள்,சண்டைப்பயிற்சி,சண்டைப்பயிற்சி,3,history,1
18,பு த்தர்அறிவுணர்வு பெற்ற இடம்,குந்தக் கிராம்ம,மான்பூங்கா,கயா,குஷிநகர்,கயா,2,history,0
19,மாகவீரர் எத்தனையாவது தீர்த்தங்கரர்,23,22,24,1,24,2,history,0
20,புத்தர் பிறந்த இடம்,கயா,சாரநாத்,குஷிநகர்,கபிலவஸ்து அருகில் லும்பினி,கபிலவஸ்து அருகில் லும்பினி,3,history,1
21,ஆதிநாதர் எனப்படுவர்,மாகவீரர்,புத்தர்,பார்சவநாதர்,ரிஷப தேவர்,ரிஷப தேவர்,3,history,0
22,சமணர்களின் புனித நூல்,வினய பிகதம்,பூர்வங்கள்,சுத்தபிடகம்,அபிதம்ம்பிடகம்,பூர்வங்கள்,1,history,0
23,மூன்றாவது புத்த சமய மாநாடு நடைபெற்ற இடம்,பாடலிபுத்திரம்,காஷ்மீர்,ராஜகிருகம்,வைசாலி,பாடலிபுத்திரம்,0,history,0
24,அலெக்சாண்டர் எந்த நாட்டைச் சார்ந்தவர்,துருக்கி,மாசிடோனியா,பாரசீகம்,மங்கோலியா,மாசிடோனியா,1,history,1
25,மெகஸ்தனிஸ் எழுதிய நூல்,அர்த்த சாஸ்திரம்,முத்ராராட்சம்,இண்டிகா,சாகுந்தலம்,இண்டிகா,2,history,1
26,இரண்டாம் அசோகர் எனப்படுபவர்,அசோகரது பேரன்,ஹர்ஷர்,சந்திரகிப்தர்,கனிஷ்கர்,கனிஷ்கர்,3,history,1
27,ஹர்ஷ சரிதம் நூலை எழுதியவர்,ஷர்ஷர்,குமாரகுப்தர்,பாணர்,பாகியான்,பாணர்,2,history,0
28,அலகாபாத் கல்வெட்டைப் பொறித்தவர்,சந்திரகுப்தர்,அசோகர்,சமுத்திரகுப்தர்,அரிசேனர்,அரிசேனர்,3,history,0
29,டெல்லி மெகரௌலி இரும்புத்துண்யார் காலத்தை சார்ந்து,குப்தர்களது காலம்,மௌரியர் காலம்,கனிஷ்கர் காலம்,முகலாயர்கள் காலம்,குப்தர்களது காலம்,0,history,0
30,சௌகான் மன்னர்களின் மிக முக்கியமான மன்னர்,ஜெயபாலர்,ஜெயச்சந்திரன்,மகிபாலர்,பிரதிவிராஜ்,பிரதிவிராஜ்,3,history,0
31,கல்ஹனார் எழுதிய நூல்,இராஜதரங்கினி,கீதகோவிந்தம்,பால இராமாயணம்,கற்பூர மஞ்சரி,இராஜதரங்கினி,0,history,0
32,கீதகோவிந்தம் என்னும் நூலை எழுதியவர்,கல்ஹனார்,ஜெயதேவர்,சோமதேவர்,இராசசேகரன்,ஜெயதேவர்,1,history,1
33,சந்தவார் போர் எப்போது நடைபெற்று ?,கி.பி.1190,கி .பி.1192,கி.பி.1025,கி.பி.1194,கி.பி.1194,3,history,0
34,பிற்கால மேலை சாளுக்கியர்களின் தலைநகரம்,வெங்கி,வாதாபி,மால்கெட்,கல்யாணி,கல்யாணி,3,history,0
35,தக்கோலம் போரில் சோழ மன்னரை தோற்கடித்தவர்,இரண்டாம் புலிகேசி,சிங்காணா,மூன்றாம் கிருஷ்னர்,அமோக வர்ஷன்,மூன்றாம் கிருஷ்னர்,2,history,0
36,முதலாம் நரசிம்மவர்மனின் பட்டபெயர்,சித்திரகாரப் புலி,விசித்திர சித்தன்,வாதாபி கொண்டான்,சோனாடு கொண்டான்,வாதாபி கொண்டான்,2,history,1
37,ஆண்டாள் இயற்றிய நூல்,திருவாய் மொழி,திருவெம்பாவை,திருப்பாட்டு,திருப்பாவை,திருப்பாவை,3,history,1
38,பாண்டிய பேரரசானது எவ்வாறு  அழைக்கப்பட்டது,மாகாணம்,மண்டலம்,ஊர் அவை,வளநாடு,மண்டலம்,1,history,0
39,பல்லவர்களின் தலைநகரம்,மகாபலிபுரம்,ஆற்காடு,காஞ்சிபுரம்,உறையூர்,காஞ்சிபுரம்,2,history,0
40,மாமல்லன் எனப்படுபவர்,மகேந்திரவர்மன்,நரசிம்மவர்மன்,நந்திவர்மன்,ராஜசிம்மன்,நரசிம்மவர்மன்,1,history,1
41,குடைவரைக்கோயிலை அறிமுகப்படுத்தியவர்,நந்திவர்மன்,மகேந்திரவர்மன்,ராஜசிம்மன்,நரசிம்மவர்மன்,மகேந்திரவர்மன்,1,history,0
42,காஞ்சிபுரம் கைலாசநாதர் கோயிலைக் கட்டியவர்,மகேந்திரவர்மன்,ராஜசிம்மன்,நந்திவர்மன்,நரசிம்மவர்மன்,ராஜசிம்மன்,1,history,0
43,முதலாம் மகேந்திரவர்மனின் பட்டபெயர்,சங்கீரணஜாதி,விசித்திர சித்தன்,சித்திரகாரப் புலி,இவை அணைத்தும்,இவை அணைத்தும்,3,history,0
44,முந்நீர் பழந்தீவுகள் எனப்ட்ட தீவு,இலங்கை ,மாலத்தீவு,இந்தோனேசியா தீவு,ஜாவா தீவு,மாலத்தீவு,1,history,1
45,"ஜாவா , சுமத்தரா தீவுகளை வென்றவர்",இராஜராஜ சோழன்,இராஜேந்திர சேழன்,குலோத்துங்க சோழன்,கரிகால சோழன்,இராஜேந்திர சேழன்,1,history,0
46,சுங்கம் தவித்த சோழன் எனப் புகழப்பட்ட சோழன்,இராஜராஜன்,இராஜேந்திரன்,குலோத்துங்கன்,கரிகாலன்,குலோத்துங்கன்,2,history,1
47,பரத நாட்டியம் யார் காலத்தில் தோன்றியது?,பாண்டியர்கள்,சோழர்கள்,பல்லவர்கள்,களப்பிரர்கள்,சோழர்கள்,1,history,1
48,சேக்கிழார் இயற்றிய நூல்,மதுரை விஜயம்,திருப்பாவை,நைடதம்,பெரியபுராணம்,பெரியபுராணம்,3,history,1
49,முதலாம் தரெய்ன் போர் எப்போது நடை பெற்றது,1025,1051,1191,1190,1191,2,history,0
50,டெல்லியை ஆண்ட முதல் பெண் சுல்தான்,இரசியா,பேகம் ஹஸ்ரத் மகால்,நூர்ஜஹான்,இல்துமிஷ்,இல்துமிஷ்,3,history,0
51,நாற்பதின்மர் குழுவை உருவாக்கிய சுல்தான்,அலாவுதீன் கில்ஜி,பால்பன்,ரசியா,நசுரூதின்,பால்பன்,1,history,0
52,இல்துமிஷ் எந்த மரபை சார்ந்தவர்,அடிமை,துக்ளக்,லோடி,இல்பாரி,இல்பாரி,3,history,1
53,ஆக்ரா நகரை நிறுவிய பேரரசர்,அக்பர்,ஷாஜகான்,ஷெர்ஷா,சிக்கந்தர் ஷா,சிக்கந்தர் ஷா,3,history,0
54,டெல்லி சுல்தான்களின் கடைசி சுல்தான்,சிக்கந்தர் லோடி,இப்ராஹிம் லோடி,பால்பன்,நசுரூதின்,இப்ராஹிம் லோடி,1,history,0
55,இந்தியக்கிளி என்றழைக்கப்பட்ட கவிஞர்,அமீர்குஸ்ரு,அமீர்ஹாசன்,அல்பரூனி,அபுல்பாசல்,அமீர்குஸ்ரு,0,history,0
56,விஜயநகர பேரரசு எந்த ந்திக்கரையில் தோற்றவிக்கப்பட்டது?,கிருஷ்ணா,கோதாவரி,காவேரி,துங்கபத்ரா,துங்கபத்ரா,3,history,1
57,விஜயபேரரசை தோற்றுவித்தவர்,"ஹரிகர்ர், புக்கர்",கிருஷ்ண தேவராயர்,வித்யாரண்யர்,சாயனா,"ஹரிகர்ர், புக்கர்",0,history,0
58,அஷ்டதிக்கஜங்கள் யாருடைய அரசவையில் இருந்தனர்,கிருஷ்ண தேவராயர்,அக்பர்,சந்திரகுப்தர்,ஹர்ஷர்,கிருஷ்ண தேவராயர்,0,history,0
59,தலைக்கோட்டை போர் நடைபெற்ற ஆண்டு,1526,1556,1565,1557,1565,2,history,0
60,விஜயநகர  பேரரசின் புகழ்மிக்க அரசர்,கிருஷ்ண தேவராயர்,"ஹரிகர்ர், புக்கர்",ராமராயர்,ஹரிகர்ர்,கிருஷ்ண தேவராயர்,0,history,0
61,சங்கராச்சரியர் பரப்பிய கொள்கை,அத்வைதம்,விஷிஷ்டாத்வைதம்,துவைதம்,மத்துவம்,அத்வைதம்,0,history,0
62,குருநானக் நிறுவிய மதம்,வீரசைவம்,சீக்கிய மதம்,சைவம்,வைணவம்,சீக்கிய மதம்,1,history,0
63,பக்தி இயக்கம் எப்போது தோன்றியது?,இடைக்காலம்,பண்டையகாலம்,வேத காலம்,இவைகளனைத்தும்,இடைக்காலம்,0,history,0
64,துளசிதாசர் எழுதிய நூல்,தோகா,தசபோதம்,இராமசரிதமனாஸ்,பால இராமாயணம்,இராமசரிதமனாஸ்,2,history,0
65,மலை எலி என்றழைக்கப்பட்டவர்,சிவாஜி,ராஜா ஜெய்சிங்,அப்சல்கான்,செயிஷ்டகான்,சிவாஜி,0,history,0
66,மூன்றாம் பானிப்பட் போர் எப்போது நடைபெற்றது?,1526,1556,1761,1766,1761,2,history,0
67,அம்பாய்னா படுகொலை நிகழ்ந்த ஆண்டு,1610,1605,1623,1647,1623,2,history,0
68,வில்லியம் கோட்டை எங்குள்ளது?,கடலூர்,பம்பாய்,தரங்கம்பாடி,கல்கத்தா,கல்கத்தா,3,history,0
69,முதல் கர்நாடகப் போர் நடைபெற்ற ஆண்டு,1746-1748,1748-1756,1756-1764,1767-1769,1746-1748,0,history,0
70,ஆற்காட்டின் வீரர் எனப்படுபவர்,இராபர்ட் கிளைவ்,டியூப்ளே,சர் அயர்கூட்,சந்தாசாகிப்,இராபர்ட் கிளைவ்,0,history,0
71,பிளாசிப்போருடன் தொடர்புடையவர்,சுஜா உத் தௌலா,மீர்காசிம்,ஷா ஆலம்,சிராஜ் உத் தௌலா,சிராஜ் உத் தௌலா,3,history,1
72,மைசூரின் புலி எனப் புகழப்படுபவர்,ஹைதர் அலி,திப்புசுல்தான்,கிருஷ்ணா,சிவாஜி,திப்புசுல்தான்,1,history,0
73,நிலையான காவலர் துறையை உருவாக்கியவர்,வெல்லெஸ்லி,டல்ஹௌசி,காரன்வாலிஸ்,வில்லியம் பெண்டிங்,காரன்வாலிஸ்,2,history,0
74,பட்டய சட்டம் இயற்றப்பபட்ட ஆண்டு,1815,1803,1810,1813,1813,3,history,0
75,வாரிசு இழப்புக் கொள்கையை அறிமுகப்படுத்தியவர் ,வில்லியம் பெண்டிங்,காரன்வாலிஸ்,டல்ஹௌசி,காரன்வாலிஸ்,டல்ஹௌசி,2,history,0
76,இந்திய இருப்புப் பாதையின் தந்தை எனப்படுபவர்,டல்ஹௌசி,கானிங்,ஜான்ஷோர்,கர்சன் பிரபு,டல்ஹௌசி,0,history,0
77,சார்லஸ் உட்ஸ் கல்விக்குழு எப்போது அமைக்கப்பட்டது,1856,1854,1853,1835,1854,1,history,0
78,இந்தியாவின் அஞ்சல் வில்லையை அறிமுகப்படுத்தியவர்,டல்ஹௌசி,ஹைதர் அலி,கானிங்,ரிப்பன்,டல்ஹௌசி,0,history,0
79,பெரும்புரட்சி முதன் முதலில் எங்கிருந்து துவங்கியது ?,மீரட்,டெல்லி,கான்பூர்,லக்னோ,மீரட்,0,history,0
0,சூரியக்குடும்பத்தில் உள்ள மொத்தக் கோள்களின் எண்ணிக்கை,8,9,12,10,8,0,geography,0
1,தொலை நோக்கயில் மட்டுமே புலப்படும் கோள்,புதன்,யுரேனஸ்,வியாழன்,வெள்ளி,யுரேனஸ்,1,geography,1
2,எல்லாக் கோள்களும் சூரியனை எந்த பாதையில் சுற்றி வருகின்றன,வட்டபாதை,நீள்வட்டப்பாதை,சதுரப்பாதை,இவையனைத்தும்,நீள்வட்டப்பாதை,1,geography,0
3,பின்வருவனவற்றுள் எந்த கோள் கிழக்கிலிருந்து மேற்காக சுற்றுகிறது,வியாழன்,யுரேனஸ்,வெள்ளி,பூமி,வெள்ளி,2,geography,0
4,பால்வெளி அண்டத்தை மற்றொரு பெயர்,பெண் கங்கா,தக்ஷின் கங்கா,ஆகாய கங்கா,கங்கை,ஆகாய கங்கா,2,geography,0
5,லீப் வருடத்தில் எந்த மாதத்தில் ஒரு நாள் அதிகரிக்கிறது,ஏப்ரல்,பிப்ரவரி,செப்டம்பர்,டிசம்ர்,பிப்ரவரி,1,geography,1
6,எந்த மாத்த்தில் இரவு பகல் சமமாக இருக்கிறது,பிப்ரவரி 21,மார்ச் 21,ஏப்ரல் 21,செப்டம்பர் 21,மார்ச் 21,1,geography,0
7,லீப் ஆண்டின் பிப்ரவரி மாதத்தில் உள்ள நாட்கள்,30,29,28,31,29,1,geography,0
8,தென் பெருங்கடல் என்றழைக்கப்படுவது,அண்டார்டிக் பெருங்கடல்,இந்தியப் பெருங்கடல் ,பசிபிக் கடல்,இவையனைத்தும்,அண்டார்டிக் பெருங்கடல்,0,geography,0
9,தக்‌ஷின் காங்கோதரி ஆய்வுக்கூடம் எங்குள்ளது?,டென்மார்க்,ஐஸ்லாந்து,அண்டார்டிக்,இமயமலை,அண்டார்டிக்,2,geography,1
10,நெருப்பு வளையம் எனப்படும் பகுதி உள்ள இடம்,தென் பெருங்கடல்,பசிபிக் பெருங் கடல்,இந்தோனேஷியா,தென் பெருங்கடல்,பசிபிக் பெருங் கடல்,1,geography,0
11,உலகிலேயே மிகவும் நீளமான நதி,அமோசன் நதி,நைல் நதி,மிசி சிப்பி ,யாங்ஸ் கியாங்,நைல் நதி,1,geography,1
12,உலகிலேயே மிகவும் அழமான கடல் பகுதி,பசிபிக் பெருங் கடல்,அண்டார்டிக் பெருங்கடல்,மரியான அகழி,யாப் அகழி,மரியான அகழி,2,geography,0
13,பூமியின் வடிவம் எத்தகையது?,உருண்டை,தட்டையானது,ஜியாய்ட் வடிவம்,இவையனைத்தும்,ஜியாய்ட் வடிவம்,2,geography,0
14,புவியின் நிலநடுக்கத்தின் பதிவு செய்யப் பயன்படும் கருவி,நிலநடுக்கமானி,புவிமானி,சீஸ்மோகிராப்,ரிக்டர்,சீஸ்மோகிராப்,2,geography,0
15,பின்வருவனவற்றில் எந்த கோளில் உயிரினங்கள் உள்ளன?,பூமி,செவ்வாய்,வெள்ளி,புதன்,பூமி,0,geography,0
16,பானஜியா எத்தனை பெரிய தட்டுக்களாக உடைப்பட்டுள்ளது,6,7,10,12,7,1,geography,0
17,பூமியில் எந்த பகுதி நிலையானதாக இல்லை?,கருவம்,நைஃப்,மேலாடு,கவசம்,மேலாடு,2,geography,0
18,நிலநடுக்கம் தோன்றும் மையம் எவ்வாறு கூறப்படுகிறது ?,வெளி மையம்,மையப்பகுதி,எரிமலை மண்டலம்,நிலநடுக்க மையம்,நிலநடுக்க மையம்,3,geography,1
19,இந்தியாவில் செயல்படும் எரிமலை எங்குள்ளது,நார்கண்டம் தீவு,பாரண்தீவு,இமயமலை ,எரிமலை இல்லை,பாரண்தீவு,1,geography,0
20,பூமியின் எந்த பகுதி பேரிஸ்பியர் என்றழைக்கப்படுகிறது,மேலோடு,கவசம்,நிலக்கோளம்,கருவம்,கருவம்,3,geography,0
21,ரிக்டர் அளவுகோல் மதிப்பீட்டு எல்லை,0-7,0-8,0-9,0-12,0-9,2,geography,0
22,மவுண்ட் கிளிமஞ்சரோ எந்த கண்டத்தில் உள்ளது,ஆசியா,ஆப்பிரிக்கா,ஆஸ்திரேலியா,வட அமெரிக்கா,ஆப்பிரிக்கா,1,geography,0
23,தமிழ்நாட்டிலுள்ள இறந்த எரிமலைக் குன்று எது,பச்சமலை,கல்வராயன் மலை,கொல்லி மலை,திருவண்ணாமலை குன்று,திருவண்ணாமலை குன்று,3,geography,1
24,ஆக்ஸிகரண செயல்முறையானது இவ்வாறு அறியப்படுகிறது,இரும்பு துருபிடித்தல்,வெப்ப அதிர்ச்சி,ஹைட்ரஜனேற்றம்,ஹோலோஹிலாஸ்டி,இரும்பு துருபிடித்தல்,0,geography,0
25,குருட்டாறுகள் உருவாக்கப்படுவது,மலைப்பாதை,பள்ளதாக்கு,டெல்டா ,சமவெளி,பள்ளதாக்கு,1,geography,0
26,பிஜ்கள் எதனுடன் தொடர்புடையது,ஆறுகள்,பனிஆறுகள்,காற்று,அலைகள்,அலைகள்,3,geography,0
27,பீடபாறைகள் இப்படியும் அழைக்கப்படுகின்றன,சூகன்,காளான் பாறை,யார்டாங்,பர்கான்,காளான் பாறை,1,geography,0
28,பர்கான் எந்த நிலத்துடன் தொடர்புடையது,படியவைத்தல்,அரித்தல்,கடத்தல் ,இயற்கை,படியவைத்தல்,0,geography,0
29,வெப்பபமண்டலத்தில் பயிரிடப்படும் முக்கிய பயிர்,நெல்,கோதுமை,பார்லி,தேயிலை,நெல்,0,geography,0
30,வளிமண்டல அழுத்ததை அளவிட பயன்படும் கருவி,வெப்பமானி,மழைமானி ,அழுத்தமானி,காற்றுமானி,அழுத்தமானி,2,geography,0
31,எரிமலை பரவலை அறிய உதவும் கருவி,எரிமலைமானி,சீஸ்மோகிராப்,புவிமானிடர்,சாய்வுமானி,சாய்வுமானி,3,geography,1
32,இந்தியாவின் சுனாமி எச்சரிக்கை எங்கு அமைந்துள்ளது,சென்னை,மும்பை,ஹைதராபாத்,மதுரை,ஹைதராபாத்,2,geography,0
33,சாய்வுமானி எதற்கு பயன்படுகிறது,நிலநடுக்கம்,எரிமலை பரவல்,கண்ட நகர்வு,இவையனைத்தும்,எரிமலை பரவல்,1,geography,0
34,சுனாமி எந்த மொழியிலிருந்து பெறப்பட்டது,ஆங்கிலம்,ஜப்பான்,ரஷியா,சீனா,ஜப்பான்,1,geography,0
35,கடல் நீரின் ஏற்ற இறக்கம் எவ்வாறு கூறப்படுகிறது,ஓதங்கள்,அலைகள்,நீரோட்டம்,இவையனைத்தும்,ஓதங்கள்,0,geography,0
36,அட்லாண்டிக் பேராளி எந்த வடிவில் உள்ளது,முக்கோணம்,வட்டம்,S,நீள்வட்டம்,S,2,geography,1
37,நீரின் அடியில் உள்ள மலைகளின் உயர பகுதி,க்யாட்,ஆழ்கடல்,கடல்மலை,கடலடி தொடர்,கடலடி தொடர்,3,geography,0
38,எந்த கடலிலில் உப்பு மிக அதிகமாக உள்ளது,அரபிக்கடல்,செங்கடல்,சாக்கடல்,வங்ககடல்,சாக்கடல்,2,geography,0
39,வறட்சி ஏற்பட முதன்மை காரணம்,மழைப்பொழிவு பற்றாகுறை,சுற்றுசூழல் சீர்கேடு,காடுகளை வளர்த்தல் தொழிற்சாலைகள்,தொழிற்சாலைகள்,மழைப்பொழிவு பற்றாகுறை,0,geography,0
40,காற்றாலை அதிகமாக காணப்படும் கண்டம்,ஆசியா,ஆப்பிரிக்கா,ஜரோப்பா,வட அமெரிக்கா,ஜரோப்பா,2,geography,0
41,நெய்வேலி இல்லாத ஒன்றை தேர்ந்தெடுக்க,நிலக்கரி,லிக்டைட்,மின்சாரம் ,உரம்,நிலக்கரி,0,geography,0
42,ஐந்தாம் நிலை தொழில்  அதிகமாக காணப்படும் இடம்,கிராம்,பள்ளிகள்,பெருநகரங்கள்,இவையனைத்தும்,பெருநகரங்கள்,2,geography,0
43,ஜாரவாஸ் எனப்படும் தொன்முதுமக்கள் காணப்படும் இடம்,வடகிழக்கு இந்தியா,கனடா,ஆப்பிக்கா,அந்தமான் நிகோபர்,அந்தமான் நிகோபர்,3,geography,1
44,கனடாவில் காணப்படும் எஸ்கிமோக்களின் தொழில் ,வேட்டையாடுதல்,மீன்பிடித்தல்,உணவு சேகரித்தல்,கால்நடை வளர்த்தல்,வேட்டையாடுதல்,0,geography,0
45,உலகில் மிகப்பெரிய உள்நாட்டு மீன்பிடி தளமாக உள்ள ஏரி,சுப்பீரியர் ஏரி,டோன்லேசாப் ஏரி,யாங்டீசி,இவையனைத்தும்,டோன்லேசாப் ஏரி,1,geography,1
46,தொழிற்புரட்சியை ஏற்படுத்தி முதல் எரி பொருள்,நிலக்கரி,டீசல்,பெட்ரோல்,இயற்கை வாயு,நிலக்கரி,0,geography,0
47,தனியார் நிறுவனத்திற்க்கு எடுத்துகாட்டு,ரிலையன்ஸ்,பெல்,மசகான்,கார்டன்ரீச்,ரிலையன்ஸ்,0,geography,0
48,சுவிட்சலாந்த் எந்த உற்பத்திக்கு புகழ் பெற்றது?,பட்டு,கணினி,தேயிலை,கைக்கடிகாரம்,கைக்கடிகாரம்,3,geography,1
49,பட்டு ஆடைக்கு புகழ் பெற்ற நாடு,சீனா,இந்தியா,பிரேசில்,லண்டன்,சீனா,0,geography,0
50,ஆட்டோபான்ஸ் சாலைகள் எந்த நாட்டில் உள்ளன,ஜெர்மனி,பிரான்ஸ்,கனடா,சீனா,ஜெர்மனி,0,geography,0
51,தந்தி தொடர்பு கண்டுபிடிக்கப்பட்ட ஆண்டு,1854,1845,1866,1844,1844,3,geography,0
52,மக்கள் தொகை அடர்த்தி அதிகமாக காணப்படும் நாடு,வங்காளதேசம்,சீனா,இந்தியா,ஜெர்மனி,வங்காளதேசம்,0,geography,0
53,வெப்பநிலை அளக்கப்பயன்படும் கருவி,டில்ட் மீட்டர்,அனிமோ மீட்டர்,தெர்மோ மீட்டர்,பாரோ மீட்டர்,தெர்மோ மீட்டர்,2,geography,1
54,நிலநடுக்க அலைகளில் எந்த அலை மிகவும் வேகமாக பயணிக்கிறது,L-அலை,P-அலை,S-அலை,உட்புற அலை,P-அலை,1,geography,0
55,எபிரோஜெனிக் எனப்படுவது,மலையாக்கா நகர்வு,கண்ட ஆக்க நகர்வு,மெதுவாக நகர்வு,திடீரென நகர்தல்,கண்ட ஆக்க நகர்வு,1,geography,0
56,ஓரோஜெனிக் எனப்படுவது,கண்ட ஆக்க நகர்வு,மலையாக்கா நகர்வு,திடீரென நகர்தல்,மெதுவாக நகர்வு,மலையாக்கா நகர்வு,1,geography,0
57,இளம் மடிப்பு மலைக்கு உதாரணம்,ராக்கி மலை,யூரல் மலை,இமயமலை,ஆரவல்லி மலை,இமயமலை,2,geography,0
58,உலகிலேயே மிகப் பெரிய செயல்படும் எரிமலை எது?,மோனாலோவா,பாரன்தீவு,பிஜியாமா,காட்டபாக்கி,மோனாலோவா,0,geography,0
59,குளிர் தலக்காற்று எது?,லூ,சின்னூக்,பான்,மிஸ்ட்ரல்,மிஸ்ட்ரல்,3,geography,1
60,சகாரா பாலைவனத்தில் வீசும் வெப்ப தலக்காற்று,மிஸ்ட்ரல்,சிராக்கோ,புர்கா,சின்னூக்,சிராக்கோ,1,geography,0
61,இந்தியா யூனியன் தென் எல்லைஎது?,கன்னியாகுமரி முனை,அந்தமான்,இந்திரா முனை,நிக்கோபர்,இந்திரா முனை,2,geography,0
62,தற்போது தமிழ் நாட்டிலுள்ள மாவட்டங்களின் எண்ணிக்கை,31,32,29,30,32,1,geography,0
63, தமிழ் நாட்டிலுள்ள மாவட்டங்களின் எண்ணிக்கை,10,6,12,8,10,0,geography,0
64, தமிழ் நாட்டிலுள்ள மக்களவை எண்ணிக்கை,18,234,39,19,39,2,geography,0
65,தமிழ்நாட்டில் மாநில மலராக அங்கீகரிக்கப்பட்டுள்ளமலர் ஏது,தாமரை,மல்லிகை,செங்காந்தள் மலர்,குறிஞ்சி மலர்,செங்காந்தள் மலர்,2,geography,0
66,தமிழ்நாட்டில் மாநில பறவையாக அங்கீகரிக்கப்பட்டுள்ள பறவை ஏது?,கிளி,மரகதப்புறா,மயில்,குருவி,மரகதப்புறா,1,geography,0
67,கிழக்கு தொடர்ச்சி மலையில் அமைந்துள்ள குன்று,நீலகிரி மலை,கல்ராயன் மலை,ஏலமலை,பழனி மலை,கல்ராயன் மலை,1,geography,0
68,தமிழ்நாட்டிலுள்ள மிகவும் உயரமான சிகரம்,தொட்டபெட்டா,ஆனைமுடி,ஏற்காடு,ஏலகிரி,தொட்டபெட்டா,0,geography,0
69,தென்னிந்தியாவின் மிகவும் உயர்ந்த சிகரம்,குடகுமலை,தொட்டபெட்டா,ஆனைமுடி,ஏலகிரி,ஆனைமுடி,2,geography,0
